"text","intent"
"Từ sáng đến giờ tôi cứ bụng đau kiểu quặn nhẹ rồi dịu hôm nay cả buổi chiều","bao_dau_bung"
"Lúc nãy tôi bắt đầu đau bụng quặn từng cơn mấy ngày nay muốn hỏi nên theo dõi thế nào","bao_dau_bung"
"Dạo này tôi hay bụng trên căng căng hơi đau sau bữa ăn trưa","bao_dau_bung"
"Tôi bị bụng bên phải đau âm ỉ hôm nay cả buổi chiều","bao_dau_bung"
"Gần đây tôi thường bụng đau lâm râm khó chịu mỗi tối trước khi ngủ","bao_dau_bung"
"Tôi bị bụng trên căng căng hơi đau mỗi tối trước khi ngủ mong được tư vấn thêm","bao_dau_bung"
"Mình đang bị đau quanh rốn âm ỉ khoảng một tuần gần đây không biết có nghiêm trọng không","bao_dau_bung"
"Từ sáng đến giờ tôi cứ bụng bên phải đau âm ỉ lâu lâu lại xuất hiện","bao_dau_bung"
"Mình đang bị bụng trên căng căng hơi đau mấy ngày nay không rõ có cần đi khám chưa","bao_dau_bung"
"Gần đây tôi thường bụng căng khó chịu mỗi lần cúi mỗi lần đứng lên ngồi xuống","bao_dau_bung"
"Từ sáng đến giờ tôi cứ bụng dưới đau âm ỉ suốt hôm nay cả buổi chiều","bao_dau_bung"
"Dạo này tôi hay đau bụng quặn từng cơn khi đi lại nhẹ nhàng không biết do nguyên nhân gì","bao_dau_bung"
"Từ sáng đến giờ tôi cứ cảm giác tức bụng khó chịu khoảng hai tiếng nay","bao_dau_bung"
"Tự nhiên tôi bị bụng bên trái đau nhói nhẹ sau khi ăn sáng xong","bao_dau_bung"
"Tự nhiên tôi bị đau bụng quặn từng cơn mỗi tối trước khi ngủ không biết do nguyên nhân gì","bao_dau_bung"
"Mình đang bị bụng dưới đau âm ỉ suốt mỗi tối trước khi ngủ","bao_dau_bung"
"Từ sáng đến giờ tôi cứ đau quanh rốn âm ỉ khoảng một tuần gần đây","bao_dau_bung"
"Mình đang bị bụng bên trái đau nhói nhẹ khoảng một tuần gần đây không biết do nguyên nhân gì","bao_dau_bung"
"Hôm nay tôi thấy đau quanh rốn âm ỉ khi ngồi làm việc lâu chỉ thấy rất khó chịu thôi","bao_dau_bung"
"Dạo này tôi hay bụng dưới hơi nhói khi đi lại mỗi tối trước khi ngủ","bao_dau_bung"
"Tự nhiên tôi bị bụng bên phải đau âm ỉ hôm nay cả buổi chiều","bao_dau_bung"
"Lúc nãy tôi bắt đầu bụng bên phải đau âm ỉ mấy ngày nay","bao_dau_bung"
"Tự nhiên tôi bị đau bụng âm ỉ mấy ngày nay không biết do nguyên nhân gì","bao_dau_bung"
"Hôm nay tôi thấy đau bụng quặn từng cơn khi ngồi làm việc lâu không biết có nghiêm trọng không","bao_dau_bung"
"Tự nhiên tôi bị bụng đầy hơi và nặng nề mỗi tối trước khi ngủ mong được tư vấn thêm","bao_dau_bung"
"Tôi bị đau bụng quặn từng cơn từ tối qua đến giờ muốn hỏi nên theo dõi thế nào","bao_dau_bung"
"Dạo này tôi hay đau quanh rốn âm ỉ liên tục suốt cả ngày không biết do nguyên nhân gì","bao_dau_bung"
"Hôm nay tôi thấy bụng cứ chướng lên khó chịu khoảng hai tiếng nay không biết do nguyên nhân gì","bao_dau_bung"
"Từ sáng đến giờ tôi cứ đau quanh rốn âm ỉ mấy ngày nay mong được tư vấn thêm","bao_dau_bung"
"Mình đang bị đau quanh rốn âm ỉ từ tối qua đến giờ","bao_dau_bung"
"Tôi bị bụng trên căng căng hơi đau khoảng một tuần gần đây không rõ có cần đi khám chưa","bao_dau_bung"
"Hôm nay tôi thấy đau bụng quặn từng cơn lâu lâu lại xuất hiện không biết có nghiêm trọng không","bao_dau_bung"
"Dạo này tôi hay bụng đau lâm râm khó chịu khoảng một tuần gần đây","bao_dau_bung"
"Tôi bị bụng bên trái đau nhói nhẹ từ sáng đến giờ không rõ có phải do ăn uống","bao_dau_bung"
"Tự nhiên tôi bị cảm giác tức bụng khó chịu từ sáng đến giờ chỉ thấy rất khó chịu thôi","bao_dau_bung"
"Tôi bị bụng đau kiểu quặn nhẹ rồi dịu mấy ngày nay","bao_dau_bung"
"Dạo này tôi hay bụng đau lâm râm khó chịu liên tục suốt cả ngày","bao_dau_bung"
"Từ sáng đến giờ tôi cứ bụng dưới đau âm ỉ suốt sau khi ăn sáng xong","bao_dau_bung"
"Tôi bị bụng cứ chướng lên khó chịu từ tối qua đến giờ","bao_dau_bung"
"Gần đây tôi thường đau bụng âm ỉ lâu lâu lại xuất hiện","bao_dau_bung"
"Mình đang bị bụng bên phải đau âm ỉ khoảng hai tiếng nay mong được tư vấn thêm","bao_dau_bung"
"Gần đây tôi thường bụng căng khó chịu mỗi lần cúi từ tối qua đến giờ","bao_dau_bung"
"Từ sáng đến giờ tôi cứ bụng trên căng căng hơi đau lâu lâu lại xuất hiện","bao_dau_bung"
"Tôi bị bụng căng khó chịu mỗi lần cúi mỗi tối trước khi ngủ","bao_dau_bung"
"Tự nhiên tôi bị đau bụng quặn từng cơn lâu lâu lại xuất hiện","bao_dau_bung"
"Hôm nay tôi thấy đau bụng âm ỉ khoảng hai tiếng nay không biết do nguyên nhân gì","bao_dau_bung"
"Tôi bị bụng dưới hơi nhói khi đi lại liên tục suốt cả ngày","bao_dau_bung"
"Hôm nay tôi thấy bụng bên phải đau âm ỉ hôm nay cả buổi chiều","bao_dau_bung"
"Gần đây tôi thường bụng bên trái đau nhói nhẹ liên tục suốt cả ngày","bao_dau_bung"
"Tôi bị đau quanh rốn âm ỉ khi ngồi làm việc lâu chỉ thấy rất khó chịu thôi","bao_dau_bung"
"Hôm nay tôi thấy đau bụng âm ỉ mỗi tối trước khi ngủ","bao_dau_bung"
"Lúc nãy tôi bắt đầu bụng dưới đau âm ỉ suốt hôm nay cả buổi chiều","bao_dau_bung"
"Tự nhiên tôi bị bụng cứ chướng lên khó chịu khi ngồi làm việc lâu","bao_dau_bung"
"Hôm nay tôi thấy bụng dưới đau âm ỉ suốt liên tục suốt cả ngày","bao_dau_bung"
"Mình đang bị bụng bên trái đau nhói nhẹ khi ngồi làm việc lâu chỉ thấy rất khó chịu thôi","bao_dau_bung"
"Gần đây tôi thường đau bụng quặn từng cơn thỉnh thoảng trong ngày không biết do nguyên nhân gì","bao_dau_bung"
"Dạo này tôi hay đau bụng âm ỉ khoảng hai tiếng nay","bao_dau_bung"
"Mình đang bị bụng cứ chướng lên khó chịu hôm nay cả buổi chiều mong được tư vấn thêm","bao_dau_bung"
"Mình đang bị bụng đau kiểu quặn nhẹ rồi dịu thỉnh thoảng trong ngày","bao_dau_bung"
"Dạo này tôi hay đau bụng quặn từng cơn từ sáng đến giờ không rõ có cần đi khám chưa","bao_dau_bung"
"Hôm nay tôi thấy bụng đau kiểu quặn nhẹ rồi dịu liên tục suốt cả ngày","bao_dau_bung"
"Tôi bị đau quanh rốn âm ỉ mỗi lần đứng lên ngồi xuống","bao_dau_bung"
"Mình đang bị bụng bên trái đau nhói nhẹ liên tục suốt cả ngày","bao_dau_bung"
"Tự nhiên tôi bị đau quanh rốn âm ỉ mấy ngày nay không rõ có phải do ăn uống","bao_dau_bung"
"Mình đang bị đau quanh rốn âm ỉ khoảng một tuần gần đây mong được tư vấn thêm","bao_dau_bung"
"Hôm nay tôi thấy bụng căng khó chịu mỗi lần cúi lâu lâu lại xuất hiện","bao_dau_bung"
"Hôm nay tôi thấy đau quanh rốn âm ỉ khi ngồi làm việc lâu không biết do nguyên nhân gì","bao_dau_bung"
"Tôi bị bụng đau lâm râm khó chịu khoảng hai tiếng nay","bao_dau_bung"
"Tự nhiên tôi bị bụng đau lâm râm khó chịu từ sáng đến giờ không biết do nguyên nhân gì","bao_dau_bung"
"Hôm nay tôi thấy bụng bên phải đau âm ỉ khi đi lại nhẹ nhàng mong được tư vấn thêm","bao_dau_bung"
"Dạo này tôi hay bụng trên căng căng hơi đau mỗi lần đứng lên ngồi xuống","bao_dau_bung"
"Dạo này tôi hay bụng trên căng căng hơi đau hôm nay cả buổi chiều mong được tư vấn thêm","bao_dau_bung"
"Tôi bị đau bụng âm ỉ sau khi ăn sáng xong không biết có nghiêm trọng không","bao_dau_bung"
"Hôm nay tôi thấy bụng đầy hơi và nặng nề khi ngồi làm việc lâu","bao_dau_bung"
"Gần đây tôi thường bụng dưới hơi nhói khi đi lại khi đi lại nhẹ nhàng","bao_dau_bung"
"Gần đây tôi thường đau bụng quặn từng cơn khoảng một tuần gần đây","bao_dau_bung"
