text,intent
"Tôi bị đau âm ỉ vùng bụng từ sáng",bao_dau_bung
"Bụng tôi khó chịu cả buổi chiều nay",bao_dau_bung
"Tự nhiên bụng bị đau quặn lúc đang làm việc",bao_dau_bung
"Tôi thấy bụng căng và đầy hơi khó chịu",bao_dau_bung
"Bụng dưới của tôi đau lâm râm từ đêm qua",bao_dau_bung
"Tôi bị chướng bụng và hơi đau nhẹ",bao_dau_bung
"Bụng cứ âm ỉ khó chịu suốt mấy tiếng nay",bao_dau_bung
"Tôi bị đau bụng bên trái kiểu âm ỉ",bao_dau_bung
"Bụng đau lâm râm mỗi khi đứng lên",bao_dau_bung
"Tôi bị đau quặn bụng bất chợt",bao_dau_bung
"Cảm giác đầy bụng và hơi đau nhẹ",bao_dau_bung
"Tôi thấy bụng dưới nặng và hơi đau âm ỉ",bao_dau_bung
"Đang ngồi thì bụng lại đau quặn một lúc",bao_dau_bung
"Bụng tôi cứ đầy hơi khó chịu từ sáng",bao_dau_bung
"Tự nhiên bụng đau âm ỉ khi đang ăn",bao_dau_bung
"Bụng dưới bị nhói một chút rồi âm ỉ lại",bao_dau_bung
"Tôi cảm thấy chướng bụng cả buổi trưa",bao_dau_bung
"Bụng bị co thắt nhẹ từng cơn",bao_dau_bung
"Tôi đau bụng âm ỉ khi cúi xuống",bao_dau_bung
"Bụng trên hơi đau và cảm giác khó chịu",bao_dau_bung
"Tôi có cảm giác bụng bị căng tức",bao_dau_bung
"Bụng bị khó chịu lâm râm từ khi ngủ dậy",bao_dau_bung
"Bụng tôi thỉnh thoảng đau quặn vài giây",bao_dau_bung
"Tôi cảm giác đầy hơi và hơi cứng bụng",bao_dau_bung
"Đau bụng nhẹ nhưng kéo dài từ sáng",bao_dau_bung
"Bụng dưới lâu lâu đau nhói một cái",bao_dau_bung
"Bụng tôi cứ âm ỉ như có gì đó khó chịu",bao_dau_bung
"Đau bụng nhẹ nhưng làm tôi khó chịu",bao_dau_bung
"Tôi bị đau bụng kiểu lâm râm",bao_dau_bung
"Đang nằm mà bụng vẫn đau âm ỉ",bao_dau_bung
"Đầy bụng khó chịu từ khi ăn trưa",bao_dau_bung
"Tôi thấy bụng hơi căng và đau nhẹ",bao_dau_bung
"Bụng dưới đau nhẹ khi đi lại",bao_dau_bung
