text,intent
Tôi ho khi uống nước lạnh,bao_ho
Tôi mệt lắm nhưng không rõ lý do,bao_met_moi
Tôi bị ớn lạnh rồi nóng lại,bao_sot
Tôi thấy nhiệt độ cơ thể tăng,bao_sot
Tôi stress vì công việc quá nhiều,lo_lang_stress
Đầu tôi quay nhẹ khi nhìn xuống,bao_dau_dau
Tôi muốn hỏi bài tập phù hợp để cải thiện sức khỏe,tu_van_tap_luyen
Cảm giác bụng nặng và đầy hơi,bao_dau_bung
Tôi stress vì cuộc sống quá mệt mỏi,lo_lang_stress
Tôi nên tập trong bao lâu để tạo thói quen?,tu_van_tap_luyen
Tôi bị sốt nhẹ nhưng không ho,bao_sot
Tôi căng thẳng vì không ai hiểu mình,lo_lang_stress
Tôi làm gì cũng thấy mệt,bao_met_moi
Tôi mệt khi phải đứng lâu,bao_met_moi
Bụng dưới tôi hơi tê tê và khó chịu,bao_dau_bung
Tự nhiên bụng bị căng khó chịu,bao_dau_bung
Tôi hay suy nghĩ tiêu cực,lo_lang_stress
Tôi bị chướng bụng cả buổi chiều,bao_dau_bung
Bụng âm ỉ làm tôi khó chịu,bao_dau_bung
Tôi mệt lả cả buổi sáng,bao_met_moi
Tôi ho khi hít hơi lạnh,bao_ho
Tôi căng thẳng khi giao tiếp,lo_lang_stress
Đầu căng tức khi làm việc khuya,bao_dau_dau
Tôi ho nhiều khi thời tiết thay đổi,bao_ho
Tôi thấy cơ thể nóng như lò sưởi,bao_sot
Bụng tôi cứ lình bình khó chịu,bao_dau_bung
Đầu bị nhức nhẹ từ tối qua,bao_dau_dau
Tôi bị lo âu vào ban đêm,lo_lang_stress
Tôi mệt và hơi hoa mắt,bao_met_moi
Tôi bị ho khan lúc nằm ngủ,bao_ho
Bụng đau âm ỉ không giảm,bao_dau_bung
Tôi stress vì cuộc sống cứ cuốn mình đi,lo_lang_stress
Tôi bị ho kéo dài suốt mấy hôm,bao_ho
Tôi muốn tập tăng nhịp tim một chút,tu_van_tap_luyen
Tôi cảm giác vừa nóng vừa ớn,bao_sot
Tôi cảm giác như bị sốt,bao_sot
Tôi thấy nhức nhẹ trên đỉnh đầu,bao_dau_dau
Tôi ho dai dẳng từ hôm qua,bao_ho
Tôi đau đầu khi thiếu ngủ nhiều ngày,bao_dau_dau
Tôi muốn tập hoạt động nhẹ buổi chiều,tu_van_tap_luyen
Tôi ho khan từ hôm qua,bao_ho
Cảm giác bụng dưới bị co nhẹ,bao_dau_bung
bạn có đi làm hôm nay không,other
Tôi lo lắng mà không thể tập trung vào gì,lo_lang_stress
tối nay tôi rảnh,other
Tôi bị áp lực khi phải cố gắng quá nhiều,lo_lang_stress
Tôi muốn hỏi món ăn nhẹ mà đủ chất,tu_van_dinh_duong
Tôi muốn hỏi món ăn giúp tăng năng lượng,tu_van_dinh_duong
Tôi cảm thấy lo âu và sợ hãi,lo_lang_stress
Tôi thấy uể oải sau khi ngủ dậy,bao_met_moi
Tôi bị ho có đờm hơi đặc,bao_ho
Tôi bị ho khan cả buổi tối,bao_ho
xin chào,other
Tôi áp lực vì mọi thứ đều dồn lại,lo_lang_stress
Tôi cảm giác toàn thân rệu rã,bao_met_moi
bạn có thích xem phim hoạt hình,other
Tôi cảm thấy yếu ớt cả ngày,bao_met_moi
Tôi bị run khẽ tay và chân,bao_sot
Tôi thấy bản thân lúc nào cũng căng thẳng,lo_lang_stress
Tôi hơi đuối và mệt,bao_met_moi
Bụng dưới lâm râm khó chịu suốt buổi,bao_dau_bung
Tôi bị uể oải suốt buổi sáng,bao_met_moi
Tôi muốn biết nên bổ sung khoáng chất nào,tu_van_dinh_duong
Tôi muốn hỏi món ăn giúp phục hồi cơ thể,tu_van_dinh_duong
Nhức đầu lâm râm suốt buổi sáng,bao_dau_dau
Tôi đang lo lắng về mối quan hệ của mình,lo_lang_stress
Đầu tôi đau từng cơn nhẹ,bao_dau_dau
Tôi bị ho suốt cả ngày,bao_ho
Tôi thấy đầu hơi chao đảo,bao_dau_dau
Tôi nên ăn trái cây trước hay sau bữa ăn?,tu_van_dinh_duong
Tôi bị đau đầu âm ỉ từ sáng,bao_dau_dau
Tôi muốn biết cách phân chia ngày tập hợp lý,tu_van_tap_luyen
Tôi bị kiệt sức dù không làm gì nặng,bao_met_moi
Tôi bị ho khan lúc sáng sớm,bao_ho
Tôi bị uể oải cả buổi tối,bao_met_moi
Tôi lo lắng khi thời tiết thay đổi,lo_lang_stress
Đầu tôi hơi đau khi chạm vào,bao_dau_dau
Tôi ho khan khi thức khuya,bao_ho
Ho kéo dài khiến tôi mệt,bao_ho
Tôi cảm thấy lười biếng vì mệt,bao_met_moi
Tôi lo lắng mỗi khi phải ra quyết định,lo_lang_stress
Tôi thấy người nóng phừng phừng,bao_sot
Tôi cảm giác đầu quay nhẹ khi đi lại,bao_dau_dau
tôi vừa uống ly cà phê,other
Tôi nên chọn thực phẩm tươi sống như thế nào?,tu_van_dinh_duong
Tôi bị cảm xúc tiêu cực kéo dài,lo_lang_stress
Tôi thấy rất áp lực và mệt,lo_lang_stress
Tôi lo nghĩ cả ngày không dừng lại được,lo_lang_stress
Tôi nên tập bài nào khi làm việc ở nhà?,tu_van_tap_luyen
Đầu căng tức như bị bó lại,bao_dau_dau
Tôi cảm thấy bụng bị chướng khó chịu,bao_dau_bung
Tôi lo về những rủi ro có thể xảy ra,lo_lang_stress
Tôi bị nóng và khát nước,bao_sot
Tôi thấy run run trong người,bao_sot
Tôi cần bài tập cường độ thấp,tu_van_tap_luyen
Tôi muốn thử vài bài tập làm nóng nhanh,tu_van_tap_luyen
Tôi cảm giác bụng hơi bị co thắt,bao_dau_bung
Tôi cần gợi ý thực phẩm tốt cho sức khỏe,tu_van_dinh_duong
Đầu tôi đau âm ỉ cả ngày,bao_dau_dau
Tôi mệt quá không muốn di chuyển,bao_met_moi
Đầu tôi hơi căng mỗi khi tập trung,bao_dau_dau
Tôi muốn hỏi thực phẩm nào giúp cơ thể khỏe mạnh,tu_van_dinh_duong
Những món nào giàu protein cho bữa sáng?,tu_van_dinh_duong
Tôi muốn hỏi danh sách món ăn lành mạnh,tu_van_dinh_duong
Đầu nặng và hơi đau cả buổi tối,bao_dau_dau
Tôi cảm giác như sắp kiệt sức,bao_met_moi
Tôi nghi mình đang sốt vì người quá nóng,bao_sot
Tôi hơi mệt và muốn nằm nghỉ,bao_met_moi
Tôi dễ stress mỗi khi có thay đổi,lo_lang_stress
Thực phẩm nào giúp bổ sung vitamin B?,tu_van_dinh_duong
Có món nào tốt để ăn hằng ngày không?,tu_van_dinh_duong
Tôi cần tư vấn thực đơn cho cả tuần,tu_van_dinh_duong
Tôi bị rét người dù trong phòng kín,bao_sot
Tôi cảm giác kiệt sức,bao_met_moi
Tôi nên chọn thực phẩm như thế nào cho tốt?,tu_van_dinh_duong
tôi đang nghe nhạc,other
Người tôi cứ nóng bừng không chịu được,bao_sot
Bụng dưới hơi đau khi đi lại,bao_dau_bung
Đầu tôi hơi đau khi ngồi lâu,bao_dau_dau
Tôi lo lắng ngay cả khi tình huống không quá nghiêm trọng,lo_lang_stress
Ho có đờm làm tôi khó chịu,bao_ho
Tôi cần bài tập hỗ trợ tinh thần thoải mái,tu_van_tap_luyen
Tôi đang bị áp lực và mệt mỏi tinh thần,lo_lang_stress
Tôi muốn tập có thể thực hiện ở bất cứ đâu,tu_van_tap_luyen
Tôi căng thẳng trong thời gian dài,lo_lang_stress
Đầu tôi mệt và hơi nhức,bao_dau_dau
Tôi bị run nhẹ cả chân tay,bao_sot
Tôi đau đầu khi thay đổi tư thế,bao_dau_dau
Tôi thấy người bị tăng nhiệt đột ngột,bao_sot
Tôi thấy bụng bị quặn nhẹ một lúc,bao_dau_bung
Tôi cảm thấy người như bốc nhiệt,bao_sot
Đang nằm mà bụng vẫn đau âm ỉ,bao_dau_bung
Cổ họng ngứa khiến tôi ho liên tục,bao_ho
Tôi có nên giảm bớt tinh bột vào ban đêm không?,tu_van_dinh_duong
Tôi muốn ăn uống hợp lý hơn,tu_van_dinh_duong
Bụng dưới hơi nhói khi ngồi xuống,bao_dau_bung
Đầu hơi nhức khi nằm nghiêng,bao_dau_dau
Tôi bị ho khan nhẹ nhưng khó chịu,bao_ho
Tôi muốn hỏi về các bài tập giãn cơ đơn giản,tu_van_tap_luyen
Tôi cảm giác đầu quay nhẹ một lúc,bao_dau_dau
Tôi thấy người bị nóng bất thường,bao_sot
Đầu đau âm ỉ buổi chiều,bao_dau_dau
Tôi mệt hơn mọi ngày mà không rõ lý do,bao_met_moi
Bụng bị nhói nhẹ liên tục,bao_dau_bung
Tôi muốn hỏi bài tập tăng độ bền,tu_van_tap_luyen
Tôi ho liên tục không ngừng,bao_ho
Tôi bị nóng người từ trưa đến giờ,bao_sot
Tôi bị ho có đờm loãng,bao_ho
Tôi bị nóng do ngủ ít,bao_sot
Tôi ho liên tục khi ăn,bao_ho
Tôi thấy đau ở bụng giữa,bao_dau_bung
"Tôi muốn thử yoga, có phù hợp không?",tu_van_tap_luyen
Bụng âm ỉ khó chịu sau khi ăn,bao_dau_bung
