text,intent
Sáng tới giờ tôi thấy cơ thể nóng rực khiến tôi cảm giác không ổn mà tôi đo được cao hơn mọi hôm,bao_sot
Sáng đến giờ tôi thấy mệt kiểu không còn chút sức nào khiến tôi loạng choạng nhẹ lúc nào cũng thấy đuối,bao_met_moi
Nếu muốn giảm mệt mỏi thì bài tập giãn cơ có phù hợp không?,tu_van_tap_luyen
Dạo này tôi thấy rất thiếu năng lượng vì thường xuyên thức khuya,bao_met_moi
Mấy hôm nay tôi cứ nóng trong người làm tôi thấy khó chịu mà tôi đo được cao hơn mọi hôm,bao_sot
Tôi muốn biết về công việc hôm nay.,other
Tối qua tôi cảm nhận đau lan hai bên đầu đau kiểu ong ong sau một đêm thiếu ngủ khó chịu suốt từ sáng,bao_dau_dau
Mấy hôm nay tôi bị đau quanh rốn nhẹ nhẹ mỗi lúc một rõ hơn,bao_dau_bung
Mỗi lần làm việc lâu tôi nhói đầu thoáng qua rồi hết mỗi chiều đi làm về,bao_dau_dau
Nếu muốn dẻo dai hơn thì bài tập cardio nhẹ có phù hợp không?,tu_van_tap_luyen
Tôi lúc nào cũng thấy rất ít năng lượng cho công việc muốn hỏi nên sắp xếp lại lịch làm,bao_met_moi
Lúc làm việc tôi thấy đuối sức hẳn khiến tôi loạng choạng nhẹ kiểu người như sắp gục,bao_met_moi
Tôi bị ho lặp lại nhiều lần trong ngày mấy hôm nay liên tục,bao_ho
Thực phẩm nào tốt để bữa trưa gọn nhẹ nhưng đủ chất?,tu_van_dinh_duong
Tôi bị ho từng cơn gai gai trong họng làm họng tôi cứ gai gai,bao_ho
Mình muốn biết về kế hoạch tuần mới cập nhật.,other
Nếu muốn dẻo dai hơn thì bài tập cardio nhẹ có phù hợp không?,tu_van_tap_luyen
Tôi cứ cảm giác đau bụng quặn lại khi tôi cúi xuống,bao_dau_bung
Tụi em đang nghĩ về danh sách phim hay nên xem dần,other
Gợi ý giúp tôi vài món ăn lành mạnh với.,tu_van_dinh_duong
Tôi nên ăn gì để đồ ăn sáng đơn giản mà lành mạnh?,tu_van_dinh_duong
Mấy hôm nay tôi bị bụng nhói thoáng qua mỗi khi tôi hít sâu,bao_dau_bung
Tôi thấy người nóng bất thường khiến tôi nóng hơn mọi khi khi tôi đo nhiệt độ thì cao hơn thường lệ,bao_sot
Tôi muốn hỏi món ăn tốt cho sức khỏe tim mạch để áp dụng lâu dài mà không chán?,tu_van_dinh_duong
Nên ưu tiên thực phẩm gì cho bữa tối?,tu_van_dinh_duong
Thỉnh thoảng tôi bị mệt như sắp gục làm người tôi nặng trĩu phải cố gắng mới đi nổi,bao_met_moi
Em đang bàn với bạn về lịch dọn dẹp nhà cửa cuối tuần,other
Tôi bị bụng bên phải đau âm ỉ khoảng một tuần gần đây không rõ có phải do ăn uống,bao_dau_bung
Mỗi lần hít sâu tôi lại ho khi nói chuyện vướng vướng ở cổ làm tôi mệt mỏi cả buổi,bao_ho
Thỉnh thoảng tôi bị đau bụng từng đợt mỗi khi tôi hít sâu,bao_dau_bung
Dạo này tôi hay bụng trên căng căng hơi đau lâu lâu lại xuất hiện,bao_dau_bung
Tôi đang quan tâm đến âm nhạc gần đây.,other
Dạo này tôi bị ho khan làm tôi hơi khó thở nhẹ khiến tôi phải dừng lại để thở,bao_ho
Tối qua tôi thấy ho khi hít sâu làm họng khô khốc làm tôi mệt mỏi cả buổi,bao_ho
Mình đang tìm hiểu về âm nhạc trong thời gian qua.,other
Lúc làm việc tôi thấy người bốc hỏa đổ mồ hôi liên tục dù không làm gì cũng nóng,bao_sot
Mấy hôm nay tôi bị đau bụng từng đợt khoảng vài tiếng nay,bao_dau_bung
Tập bài tập không cần dụng cụ ở văn phòng thì nên bắt đầu thế nào?,tu_van_tap_luyen
Tự nhiên tôi cảm giác đuối sức hẳn làm tôi mệt khi đứng dậy không còn chút sức nào,bao_met_moi
Dạo này tôi bị ho khi hít sâu kèm rát họng khiến tôi phải dừng lại để thở,bao_ho
Dạo này tôi bị ho khi hít sâu gai gai trong họng làm tôi khó nói tròn câu,bao_ho
"Tôi đang cố gắng hạn chế đồ ngọt, nên ưu tiên những loại thực phẩm nào?",tu_van_dinh_duong
Bạn gợi ý giúp tôi thực đơn để đỡ mệt mỏi hơn?,tu_van_dinh_duong
"Tôi đang cố gắng hạn chế đồ ngọt, nên ưu tiên những loại thực phẩm nào?",tu_van_dinh_duong
Gần đây đầu tôi đau đỉnh đầu đau như bị bó khi nhìn màn hình lâu khiến đầu cứ ong ong,bao_dau_dau
Nếu muốn dẻo dai hơn thì bài tập cardio nhẹ có phù hợp không?,tu_van_tap_luyen
Mỗi lần cúi xuống tôi bị đau lan hai bên đầu âm ỉ khi cúi xuống khiến đầu cứ ong ong,bao_dau_dau
"Khi nghĩ đến công việc tôi thấy lo lắng không rõ lý do kèm run nhẹ ở tay, cảm giác như không thư giãn nổi",lo_lang_stress
Mình muốn biết về công nghệ tháng này.,other
Lúc làm việc tôi thấy nóng phừng phừng khiến tôi nóng hơn mọi khi mà tôi đo được cao hơn mọi hôm,bao_sot
Nếu muốn khỏe hơn thì bài tập tăng sức bền có phù hợp không?,tu_van_tap_luyen
Nếu muốn giữ năng lượng ổn định thì bài tập tại nhà có phù hợp không?,tu_van_tap_luyen
Thực đơn hằng ngày thế nào thì được coi là lành mạnh?,tu_van_dinh_duong
Có thực phẩm nào giúp cơ thể nhiều năng lượng hơn không?,tu_van_dinh_duong
Nếu muốn vận động tốt hơn thì bài tập không cần dụng cụ có phù hợp không?,tu_van_tap_luyen
Hôm nay tôi cảm nhận đau bụng từng đợt mỗi lúc một rõ hơn,bao_dau_bung
Mình đang tìm hiểu về lịch tập giúp cơ thể dẻo dai hơn không cần nhiều dụng cụ hỗ trợ?,tu_van_tap_luyen
Tự nhiên tôi bị cảm giác tức bụng khó chịu liên tục suốt cả ngày mong được tư vấn thêm,bao_dau_bung
Lúc ăn xong tôi cảm thấy đầy hơi khó chịu một chút rồi lại hết,bao_dau_bung
Gần đây tôi hay ho từng cơn ngứa họng khó chịu khiến tôi phải dừng lại để thở,bao_ho
Anh muốn tham khảo ý kiến về danh sách sách nên đọc trong năm,other
Tối qua tôi cảm nhận đau sau gáy nặng đầu khó chịu mỗi khi đổi tư thế khó chịu suốt từ sáng,bao_dau_dau
Mấy hôm nay tôi cứ ho khi hít sâu làm tôi hơi khó thở nhẹ khiến tôi nói chuyện cứ bị vướng,bao_ho
Mấy hôm nay tôi bị đầy hơi khó chịu từ sáng đến giờ,bao_dau_bung
"Gần đây tôi hay nghĩ linh tinh đủ thứ kèm khó ngủ, tâm trí không yên chút nào",lo_lang_stress
Nếu không uống nước ngọt nữa thì nên thay bằng loại đồ uống nào tốt hơn?,tu_van_dinh_duong
Muốn ăn uống lành mạnh hơn thì nên bắt đầu từ đâu?,tu_van_dinh_duong
Mỗi lần hít sâu tôi lại ho khi nói chuyện làm tôi hơi khó thở nhẹ làm tôi mệt mỏi cả buổi,bao_ho
Hôm nay tôi cảm nhận đau bụng dưới âm ấm khi tôi vừa ăn xong,bao_dau_bung
Mình đang thắc mắc hôm nay thời tiết thế nào ở Hà Nội phù hợp với người sống một mình?,other
Ăn gì cho món giàu đạm nhưng vẫn nhẹ bụng?,tu_van_dinh_duong
Gần đây tôi hay ho có đờm làm họng khô khốc làm tôi khó nói tròn câu,bao_ho
Dạo này tôi bị ho có đờm làm họng khô khốc làm tôi khó nói tròn câu,bao_ho
Chị đang tìm hiểu về lịch chơi game cùng hội bạn tối mai,other
Thỉnh thoảng tôi bị đuối sức hẳn khiến tôi loạng choạng nhẹ không còn chút sức nào,bao_met_moi
"Tự nhiên tôi cảm giác suy nghĩ quá nhiều kèm hơi khó thở nhẹ do lo, tâm trí không yên chút nào",lo_lang_stress
Nên ưu tiên thực phẩm gì cho bữa tối?,tu_van_dinh_duong
Sáng đến giờ tôi thấy uể oải cả người lúc nào cũng muốn nằm xuống phải cố gắng mới đi nổi,bao_met_moi
Sáng tới giờ tôi thấy cơ thể nóng rực khiến tôi cảm giác không ổn khi tôi đo nhiệt độ thì cao hơn thường lệ,bao_sot
Tôi đang quan tâm đến đời sống tháng này.,other
Nhờ bạn gợi ý giúp mình bài tập buổi sáng giúp tinh thần tỉnh táo?,tu_van_tap_luyen
Tự nhiên tôi thấy nhức hai bên thái dương nhói nhẹ sau một đêm thiếu ngủ khiến tôi phải dừng lại nghỉ,bao_dau_dau
"Sáng dậy tôi đã nghĩ linh tinh đủ thứ kèm cảm giác nặng ngực, chỉ muốn nằm mà vẫn suy nghĩ",lo_lang_stress
Mấy hôm nay tôi bị đầy hơi khó chịu mỗi khi tôi hít sâu,bao_dau_bung
"Cả ngày tôi cứ bất an trong lòng kèm cảm giác nặng ngực, chỉ muốn nằm mà vẫn suy nghĩ",lo_lang_stress
Tự nhiên tôi thấy đau quanh rốn nhẹ nhẹ khi tôi cúi xuống,bao_dau_bung
Tự nhiên tôi thấy đau đỉnh đầu đau kiểu ong ong khi cúi xuống làm tôi hơi loạng choạng,bao_dau_dau
Tôi đang tìm hiểu về trò chơi gần đây.,other
Dạo này tôi thấy không có sức làm việc khá lo lắng nên muốn được tư vấn,bao_met_moi
Nếu muốn dẻo dai hơn thì bài tập cardio nhẹ có phù hợp không?,tu_van_tap_luyen
Dạo gần đây mình cứ thấy không có sức làm việc,bao_met_moi
"Mỗi tối tôi lại căng đầu khó chịu kèm người cứ bồn chồn, đầu cứ quay quay",lo_lang_stress
Mình muốn biết về trò chơi mới cập nhật.,other
Hôm nay tôi cảm nhận đau bụng quặn lại một chút rồi lại hết,bao_dau_bung
Tối qua tôi cảm nhận đau lan hai bên đầu đau như bị bó sau khi làm việc nhiều khiến tôi phải dừng lại nghỉ,bao_dau_dau
Gần đây tôi hay người bốc hỏa khiến tôi nóng hơn mọi khi khi tôi đo nhiệt độ thì cao hơn thường lệ,bao_sot
Tự nhiên tôi thấy đầy hơi khó chịu một chút rồi lại hết,bao_dau_bung
Dạo này bụng tôi đau quanh rốn nhẹ nhẹ nhưng vẫn hơi khó chịu,bao_dau_bung
Tôi muốn biết về học tập tuần này.,other
Lúc làm việc tôi thấy người nóng ran khiến tôi cảm giác không ổn lúc ngồi một chỗ cũng thấy nóng lên,bao_sot
Mình đang bị ho từng cơn về đêm khoảng một tuần gần đây khá phiền nên muốn hỏi thử,bao_ho
Anh đang cần thông tin về cách học tập hiệu quả.,other
Sáng đến giờ tôi thấy uể oải cả người làm tôi mệt khi đứng dậy làm tôi chỉ muốn nghỉ ngay,bao_met_moi
Tối qua tôi thấy ho khi nói chuyện gai gai trong họng khiến tôi phải dừng lại để thở,bao_ho
Hôm nay tôi thấy ho ít nhưng cứ lặp lại mấy hôm nay liên tục,bao_ho
Những loại rau củ nào nên ăn thường xuyên?,tu_van_dinh_duong
Một ngày nên chia bữa ăn thế nào cho hợp lý?,tu_van_dinh_duong
Cả ngày nay tôi cứ người nóng ran làm người tôi cứ nóng như lò than mà tôi đo được cao hơn mọi hôm,bao_sot
Từ sáng đến giờ tôi cứ đau đầu lâm râm cả buổi khi làm việc trên máy tính,bao_dau_dau
Mỗi lần đứng dậy tôi bị mệt rã rời lúc nào cũng muốn nằm xuống không còn chút sức nào,bao_met_moi
Dạo này tôi thấy nghi mình đang bị sốt nhẹ từ tối qua đến giờ,bao_sot
Mấy hôm nay tôi bị bụng hơi căng tức khoảng vài tiếng nay,bao_dau_bung
Lúc làm việc tôi thấy mệt kiểu không còn chút sức nào khiến tôi khó tập trung khiến tôi làm gì cũng chậm,bao_met_moi
Thỉnh thoảng tôi bị nóng như đang sốt khiến tôi nóng hơn mọi khi nhất là lúc vừa ngủ dậy,bao_sot
Tôi muốn biết về đời sống hôm nay.,other
Sáng đến giờ tôi thấy kiệt sức khó tả làm tôi buồn ngủ suốt khiến tôi làm gì cũng chậm,bao_met_moi
Dạo này tôi hay đau bụng quặn từng cơn từ sáng đến giờ không rõ có cần đi khám chưa,bao_dau_bung
Gần đây tôi hay ho khi hít sâu kèm rát họng khiến tôi nói chuyện cứ bị vướng,bao_ho
Dạo này tôi bị ho liên tục gai gai trong họng làm tôi khó nói tròn câu,bao_ho
Những món nào phù hợp để giảm bớt cảm giác uể oải?,tu_van_dinh_duong
Tôi đang muốn hỏi về ẩm thực mới cập nhật.,other
Mình muốn biết về văn hóa trong thời gian qua.,other
Mấy hôm nay tôi bị đau sau gáy âm ỉ sau khi làm việc nhiều khiến đầu cứ ong ong,bao_dau_dau
Dạo này tôi thấy nghi mình đang bị sốt nhẹ suốt từ đêm qua,bao_sot
Cho tôi hỏi nên ăn gì để tăng sức đề kháng?,tu_van_dinh_duong
Tôi thấy mệt kiểu không còn chút sức nào làm tôi mệt khi đứng dậy không còn chút sức nào,bao_met_moi
Tự nhiên tôi thấy bụng ê ê khó tả nhưng vẫn hơi khó chịu,bao_dau_bung
Tôi đang bàn với bạn về lịch xem bóng đá chung với bạn bè,other
Thực phẩm nào tốt để giữ năng lượng ổn định cả ngày?,tu_van_dinh_duong
"Dạo này tôi cứ căng đầu khó chịu kèm khó chợp mắt, không tập trung làm được việc gì",lo_lang_stress
